pass,lpass,time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov
112,4.718499,1,1,0,0,0,0,0,0,0,0,0,0
118,4.770685,2,0,1,0,0,0,0,0,0,0,0,0
132,4.882802,3,0,0,1,0,0,0,0,0,0,0,0
129,4.859812,4,0,0,0,1,0,0,0,0,0,0,0
121,4.795791,5,0,0,0,0,1,0,0,0,0,0,0
135,4.905275,6,0,0,0,0,0,1,0,0,0,0,0
148,4.997212,7,0,0,0,0,0,0,1,0,0,0,0
148,4.997212,8,0,0,0,0,0,0,0,1,0,0,0
136,4.912655,9,0,0,0,0,0,0,0,0,1,0,0
119,4.779123,10,0,0,0,0,0,0,0,0,0,1,0
104,4.644391,11,0,0,0,0,0,0,0,0,0,0,1
118,4.770685,12,0,0,0,0,0,0,0,0,0,0,0
115,4.744932,13,1,0,0,0,0,0,0,0,0,0,0
126,4.836282,14,0,1,0,0,0,0,0,0,0,0,0
141,4.9487615,15,0,0,1,0,0,0,0,0,0,0,0
135,4.905275,16,0,0,0,1,0,0,0,0,0,0,0
125,4.828314,17,0,0,0,0,1,0,0,0,0,0,0
149,5.003946,18,0,0,0,0,0,1,0,0,0,0,0
170,5.135798,19,0,0,0,0,0,0,1,0,0,0,0
170,5.135798,20,0,0,0,0,0,0,0,1,0,0,0
158,5.062595,21,0,0,0,0,0,0,0,0,1,0,0
133,4.890349,22,0,0,0,0,0,0,0,0,0,1,0
114,4.736198,23,0,0,0,0,0,0,0,0,0,0,1
140,4.941642,24,0,0,0,0,0,0,0,0,0,0,0
145,4.976734,25,1,0,0,0,0,0,0,0,0,0,0
150,5.010635,26,0,1,0,0,0,0,0,0,0,0,0
178,5.181784,27,0,0,1,0,0,0,0,0,0,0,0
163,5.0937528,28,0,0,0,1,0,0,0,0,0,0,0
172,5.147494,29,0,0,0,0,1,0,0,0,0,0,0
178,5.181784,30,0,0,0,0,0,1,0,0,0,0,0
199,5.293305,31,0,0,0,0,0,0,1,0,0,0,0
199,5.293305,32,0,0,0,0,0,0,0,1,0,0,0
184,5.214936,33,0,0,0,0,0,0,0,0,1,0,0
162,5.087596,34,0,0,0,0,0,0,0,0,0,1,0
146,4.983607,35,0,0,0,0,0,0,0,0,0,0,1
166,5.111988,36,0,0,0,0,0,0,0,0,0,0,0
171,5.141664,37,1,0,0,0,0,0,0,0,0,0,0
